"1","Afghanistan"
"85","Albania"
"185","Algeria"
"283","Andorra"
"290","Angola"
"322","Argentina"
"417","Armenia"
"508","Australia"
"608","Austria"
"708","Azerbaijan"
"1","Bahrain"
"8","Bangladesh"
"102","Barbados"
"112","Belarus"
"202","Belgium"
"302","Belize"
"312","Benin"
"343","Bhutan"
"359","Bolivia"
"459","Bosnia and Herzegovina"
"559","Brazil"
"659","Brunei"
"664","Bulgaria"
"1","Cambodia"
"21","Cameroon"
"121","Canada"
"220","Cape Verde"
"234","Central African Republic"
"270","Chad"
"310","Chile"
"410","China"
"508","Colombi"
"608","Comoros"
"708","Costa Rica"
"807","Croatia"
"907","Cuba"
"1007","Cyprus"
"1107","Czech Republic"
"1","Denmark"
"101","Djibouti"
"1","Ecuador"
"101","Equatorial Guinea"
"124","Eritrea"
"132","Estonia"
"232","Ethiopia"
"1","Fiji"
"4","Finland"
"104","France"
"1","Gabon"
"28","Gambia, The"
"127","Georgia"
"200","Germany"
"300","Ghana"
"369","Greece"
"469","Grenada"
"474","Guatemala"
"574","Guyana"
"1","Haiti"
"101","Honduras"
"201","Hungary"
"1","Iceland"
"74","India"
"174","Indonesia"
"274","Iran"
"374","Iraq"
"437","Ireland"
"537","Italy"
"1","Jamaica"
"82","Japan"
"182","Jordan"
"1","Kazakhstan"
"96","Kenya"
"195","Kiribati"
"209","Korea, South"
"292","Kuwait"
"1","Latvia"
"101","Lebanon"
"129","Liberia"
"139","Libya"
"178","Liechtenstein"
"191","Lithuania"
"291","Luxembourg"
"1","Macedonia"
"101","Malawi"
"170","Malaysia"
"200","Maldives"
"300","Mali"
"318","Malta"
"353","Marshall Islands"
"356","Mauritania"
"359","Mauritius"
"452","Mexico"
"552","Micronesia"
"563","Moldova"
"623","Monaco"
"646","Morocco"
"716","Mozambique"
"741","Myanmar"
"1","Nepa"
"39","Netherlands"
"138","New Zealand"
"139","Nicaragua"
"338","Niger"
"438","Nigeria"
"476","Norway"
"1","Oman"
"1","Pakistan"
"101","Palau"
"112","Palestine"
"112","Panama"
"321","Papua New Guinea"
"359","Paraguay"
"459","Peru"
"559","Philippines"
"659","Poland"
"759","Portugal"
"1","Qatar"
"1","Romania"
"100","Russia"
"1","Saint Kitts and Nevis"
"9","Salvador"
"109","Samoa"
"206","Sao Tome and Principe"
"207","Senegal"
"253","Seychelles"
"254","Slovenia"
"354","Solomon Islands"
"360","Somalia"
"405","South Africa"
"505","Spain"
"604","Sri Lanka"
"666","Sudan"
"749","Suriname"
"763","Swaziland"
"783","Sweden"
"883","Switzerland"
"983","Syria"
"1","Tajikistan"
"63","Tanzania"
"163","Thailand"
"263","Togo"
"284","Tonga"
"291","Tunisia"
"391","Turkey"
"491","Tuvalu"
"1","Uganda"
"57","Ukraine"
"126","United Kingdom"
"226","United States"
"326","Uruguay"
"1","Venezuela"
"101","Vietnam"
"1","Yemen"
"1","Zambia"
"67","Zimbabwe"
